Cruise	Station	Type	yyyy-mm-ddThh:mm:ss.sss	Longitude [degrees_east]	Latitude [degrees_north]	LOCAL_CDI_ID	EDMO_code	Bot. Depth [m]	Pres_Z [dbar]	QV:SEADATANET	Atten_red [/m]	QV:SEADATANET	Atten_red2 [/m]	QV:SEADATANET	chl-a_water_ISfluor [mg/m^3]	QV:SEADATANET	WC_dissO2 [umol/l]	QV:SEADATANET	AqVolt [V]	QV:SEADATANET	STNephV [V]	QV:SEADATANET	BKBeck [%]	QV:SEADATANET	PotAtten [/m]	QV:SEADATANET	WC_Potemp [degC]	QV:SEADATANET	P_sal_CTD [Dmnless]	QV:SEADATANET	SigTheta [kg/m^3]	QV:SEADATANET	WC_temp_CTD [degC]	QV:SEADATANET
									   63.00	1	  0.459	1	  0.470	1	  0.49	1	259.1	1	 1.2276	1	  0.0703	1	101.19	1	 0.4586	1	14.372	1	35.872	1	26.782	1	14.381	1
									   65.00	1	  0.449	1	  0.461	1	  0.48	1	257.1	1	 1.2105	1	  0.0699	1	100.40	1	 0.4486	1	14.353	1	35.872	1	26.787	1	14.363	1
									   67.00	1	  0.446	1	  0.458	1	  0.74	1	256.7	1	 1.4652	1	  0.0693	1	100.23	1	 0.4459	1	14.348	1	35.873	1	26.788	1	14.358	1
									   69.00	1	  0.445	1	  0.456	1	  0.82	1	255.7	1	 1.5320	1	  0.0674	1	 99.83	1	 0.4444	1	14.339	1	35.871	1	26.788	1	14.349	1
									   71.00	1	  0.438	1	  0.449	1	  0.77	1	255.4	1	 1.4978	1	  0.0689	1	 99.64	1	 0.4380	1	14.316	1	35.872	1	26.794	1	14.326	1
									   73.00	1	  0.427	1	  0.440	1	  0.61	1	255.2	1	 1.3608	1	  0.0637	1	 99.49	1	 0.4271	1	14.279	1	35.870	1	26.801	1	14.290	1
									   75.00	1	  0.420	1	  0.432	1	  0.51	1	254.8	1	 1.2519	1	  0.0610	1	 99.27	1	 0.4203	1	14.242	1	35.871	1	26.809	1	14.253	1
									   77.00	1	  0.416	1	  0.428	1	  0.39	1	253.8	1	 1.0778	1	  0.0583	1	 98.80	1	 0.4156	1	14.202	1	35.869	1	26.816	1	14.213	1
									   79.00	1	  0.415	1	  0.427	1	  0.48	1	253.1	1	 1.2066	1	  0.0613	1	 98.51	1	 0.4145	1	14.185	1	35.868	1	26.819	1	14.197	1
									   81.00	1	  0.411	1	  0.424	1	  0.44	1	253.1	1	 1.1638	1	  0.0604	1	 98.44	1	 0.4110	1	14.165	1	35.867	1	26.823	1	14.177	1
									   83.00	1	  0.405	1	  0.418	1	  0.39	1	252.9	1	 1.0441	1	  0.0547	1	 98.30	1	 0.4050	1	14.131	1	35.867	1	26.830	1	14.144	1
									   85.00	1	  0.404	1	  0.417	1	  0.38	1	252.0	1	 1.0821	1	  0.0547	1	 97.97	1	 0.4039	1	14.127	1	35.868	1	26.832	1	14.139	1
									   87.00	1	  0.404	1	  0.416	1	  0.32	1	251.8	1	 0.9726	1	  0.0558	1	 97.85	1	 0.4038	1	14.122	1	35.868	1	26.833	1	14.135	1
									   89.00	1	  0.402	1	  0.416	1	  0.43	1	251.6	1	 1.1240	1	  0.0540	1	 97.78	1	 0.4023	1	14.115	1	35.867	1	26.834	1	14.128	1
									   91.00	1	  0.400	1	  0.413	1	  0.45	1	251.4	1	 1.1740	1	  0.0546	1	 97.65	1	 0.3999	1	14.093	1	35.866	1	26.838	1	14.106	1
									   93.00	1	  0.398	1	  0.411	1	  0.49	1	251.3	1	 1.2239	1	  0.0522	1	 97.56	1	 0.3979	1	14.068	1	35.864	1	26.841	1	14.082	1
									   95.00	1	  0.395	1	  0.408	1	  0.28	1	250.7	1	 0.8754	1	  0.0502	1	 97.30	1	 0.3947	1	14.044	1	35.864	1	26.847	1	14.058	1
									   97.00	1	  0.393	1	  0.407	1	  0.34	1	250.6	1	 1.0147	1	  0.0502	1	 97.22	1	 0.3930	1	14.037	1	35.866	1	26.850	1	14.051	1
									   99.00	1	  0.392	1	  0.405	1	  0.30	1	251.1	1	 0.9144	1	  0.0493	1	 97.39	1	 0.3917	1	14.015	1	35.864	1	26.853	1	14.029	1
									  101.00	1	  0.390	1	  0.403	1	  0.46	1	249.4	1	 1.1963	1	  0.0513	1	 96.73	1	 0.3895	1	14.006	1	35.866	1	26.856	1	14.021	1
