Cruise	Station	Type	yyyy-mm-ddThh:mm:ss.sss	Longitude [degrees_east]	Latitude [degrees_north]	LOCAL_CDI_ID	EDMO_code	Bot. Depth [m]	Pres_Z [dbar]	QV:SEADATANET	Atten_red [/m]	QV:SEADATANET	Atten_red2 [/m]	QV:SEADATANET	chl-a_water_ISfluor [mg/m^3]	QV:SEADATANET	WC_dissO2 [umol/l]	QV:SEADATANET	AqVolt [V]	QV:SEADATANET	STNephV [V]	QV:SEADATANET	BKBeck [%]	QV:SEADATANET	PotAtten [/m]	QV:SEADATANET	WC_Potemp [degC]	QV:SEADATANET	P_sal_CTD [Dmnless]	QV:SEADATANET	SigTheta [kg/m^3]	QV:SEADATANET	WC_temp_CTD [degC]	QV:SEADATANET
									  757.00	1	  0.348	1	  0.355	1	  0.17	1	217.3	1	 0.5769	1	  0.0192	1	 79.13	1	 0.3473	1	10.897	1	35.862	1	27.466	1	10.994	1
									  759.00	1	  0.349	1	  0.355	1	  0.13	1	216.1	1	 0.3972	1	  0.0190	1	 78.70	1	 0.3476	1	10.899	1	35.863	1	27.467	1	10.996	1
									  761.00	1	  0.349	1	  0.355	1	  0.16	1	215.2	1	 0.5615	1	  0.0195	1	 78.40	1	 0.3481	1	10.905	1	35.866	1	27.468	1	11.002	1
									  763.00	1	  0.349	1	  0.355	1	  0.29	1	216.1	1	 0.9112	1	  0.0194	1	 78.73	1	 0.3476	1	10.916	1	35.869	1	27.469	1	11.014	1
									  765.00	1	  0.348	1	  0.355	1	  0.21	1	216.4	1	 0.7142	1	  0.0211	1	 78.87	1	 0.3471	1	10.920	1	35.870	1	27.468	1	11.017	1
									  767.00	1	  0.349	1	  0.355	1	  0.20	1	215.1	1	 0.6829	1	  0.0189	1	 78.39	1	 0.3473	1	10.920	1	35.871	1	27.469	1	11.018	1
									  769.00	1	  0.349	1	  0.355	1	  0.23	1	214.1	1	 0.7816	1	  0.0191	1	 78.05	1	 0.3480	1	10.930	1	35.878	1	27.473	1	11.028	1
									  771.00	1	  0.350	1	  0.355	1	  0.09	1	214.5	1	 0.2185	1	  0.0195	1	 78.19	1	 0.3484	1	10.929	1	35.884	1	27.477	1	11.028	1
									  773.00	1	  0.349	1	  0.355	1	  0.11	1	216.1	1	 0.3099	1	  0.0189	1	 78.80	1	 0.3480	1	10.933	1	35.887	1	27.479	1	11.032	1
									  775.00	1	  0.349	1	  0.355	1	  0.05	1	215.5	1	-0.1366	1	  0.0194	1	 78.57	1	 0.3482	1	10.934	1	35.891	1	27.482	1	11.033	1
									  777.00	1	  0.349	1	  0.355	1	  0.17	1	214.3	1	 0.5891	1	  0.0188	1	 78.14	1	 0.3474	1	10.938	1	35.893	1	27.483	1	11.037	1
									  779.00	1	  0.350	1	  0.355	1	  0.20	1	214.1	1	 0.6895	1	  0.0186	1	 78.08	1	 0.3486	1	10.944	1	35.898	1	27.486	1	11.044	1
									  781.00	1	  0.350	1	  0.355	1	  0.13	1	214.7	1	 0.4117	1	  0.0195	1	 78.31	1	 0.3488	1	10.956	1	35.905	1	27.489	1	11.056	1
									  783.00	1	  0.350	1	  0.355	1	  0.28	1	215.2	1	 0.8871	1	  0.0189	1	 78.54	1	 0.3490	1	10.971	1	35.911	1	27.491	1	11.071	1
									  785.00	1	  0.350	1	  0.355	1	  0.18	1	215.3	1	 0.6061	1	  0.0192	1	 78.57	1	 0.3487	1	10.972	1	35.911	1	27.491	1	11.073	1
									  787.00	1	  0.350	1	  0.355	1	  0.17	1	214.0	1	 0.5796	1	  0.0194	1	 78.12	1	 0.3491	1	10.980	1	35.920	1	27.497	1	11.082	1
									  789.00	1	  0.350	1	  0.355	1	  0.35	1	214.1	1	 1.0303	1	  0.0193	1	 78.17	1	 0.3491	1	10.985	1	35.922	1	27.497	1	11.086	1
									  791.00	1	  0.350	1	  0.355	1	  0.19	1	215.2	1	 0.6390	1	  0.0191	1	 78.58	1	 0.3490	1	10.990	1	35.924	1	27.498	1	11.091	1
									  793.00	1	  0.350	1	  0.355	1	  0.21	1	214.5	1	 0.7031	1	  0.0195	1	 78.36	1	 0.3491	1	11.001	1	35.929	1	27.500	1	11.103	1
									  795.00	1	  0.350	1	  0.355	1	  0.17	1	213.6	1	 0.6079	1	  0.0192	1	 77.96	1	 0.3491	1	10.984	1	35.924	1	27.499	1	11.086	1
									  797.00	1	  0.350	1	  0.355	1	  0.22	1	214.5	1	 0.7434	1	  0.0192	1	 78.27	1	 0.3489	1	10.964	1	35.921	1	27.500	1	11.066	1
									  799.00	1	  0.350	1	  0.355	1	  0.19	1	215.8	1	 0.6495	1	  0.0182	1	 78.72	1	 0.3486	1	10.952	1	35.921	1	27.502	1	11.055	1
									  801.00	1	  0.350	1	  0.355	1	  0.24	1	216.3	1	 0.8040	1	  0.0200	1	 78.93	1	 0.3491	1	10.953	1	35.926	1	27.506	1	11.056	1
									  803.00	1	  0.350	1	  0.355	1	  0.25	1	215.6	1	 0.8310	1	  0.0194	1	 78.67	1	 0.3491	1	10.958	1	35.929	1	27.508	1	11.061	1
									  805.00	1	  0.350	1	  0.355	1	  0.28	1	214.9	1	 0.8877	1	  0.0195	1	 78.42	1	 0.3491	1	10.967	1	35.937	1	27.512	1	11.070	1
									  807.00	1	  0.350	1	  0.355	1	  0.30	1	215.7	1	 0.9277	1	  0.0194	1	 78.73	1	 0.3491	1	10.973	1	35.942	1	27.515	1	11.076	1
									  809.00	1	  0.350	1	  0.355	1	  0.13	1	215.3	1	 0.3778	1	  0.0188	1	 78.60	1	 0.3491	1	10.970	1	35.943	1	27.516	1	11.075	1
									  811.00	1	  0.350	1	  0.355	1	  0.15	1	215.6	1	 0.5174	1	  0.0192	1	 78.69	1	 0.3491	1	10.964	1	35.946	1	27.519	1	11.068	1
									  813.00	1	  0.350	1	  0.355	1	  0.11	1	216.3	1	 0.2652	1	  0.0198	1	 78.96	1	 0.3491	1	10.966	1	35.948	1	27.521	1	11.071	1
									  815.00	1	  0.350	1	  0.355	1	  0.33	1	215.6	1	 0.9849	1	  0.0198	1	 78.70	1	 0.3492	1	10.972	1	35.949	1	27.521	1	11.076	1
									  817.00	1	  0.350	1	  0.356	1	  0.26	1	215.3	1	 0.8347	1	  0.0189	1	 78.59	1	 0.3491	1	10.962	1	35.948	1	27.521	1	11.067	1
									  819.00	1	  0.350	1	  0.355	1	  0.32	1	215.6	1	 0.9679	1	  0.0194	1	 78.66	1	 0.3491	1	10.948	1	35.945	1	27.522	1	11.053	1
									  821.00	1	  0.350	1	  0.355	1	  0.30	1	213.9	1	 0.9410	1	  0.0199	1	 78.04	1	 0.3491	1	10.936	1	35.944	1	27.523	1	11.042	1
									  823.00	1	  0.350	1	  0.355	1	  0.19	1	213.6	1	 0.6472	1	  0.0195	1	 77.99	1	 0.3491	1	10.963	1	35.960	1	27.531	1	11.069	1
									  825.00	1	  0.350	1	  0.355	1	  0.29	1	214.7	1	 0.9015	1	  0.0185	1	 78.43	1	 0.3491	1	11.001	1	35.970	1	27.531	1	11.108	1
									  827.00	1	  0.350	1	  0.355	1	  0.33	1	214.7	1	 0.9781	1	  0.0194	1	 78.45	1	 0.3491	1	11.012	1	35.974	1	27.532	1	11.119	1
									  829.00	1	  0.350	1	  0.355	1	  0.24	1	213.7	1	 0.8052	1	  0.0188	1	 78.12	1	 0.3491	1	11.018	1	35.976	1	27.533	1	11.125	1
									  831.00	1	  0.350	1	  0.355	1	  0.21	1	213.9	1	 0.7092	1	  0.0194	1	 78.21	1	 0.3490	1	11.029	1	35.982	1	27.536	1	11.137	1
									  833.00	1	  0.350	1	  0.355	1	  0.22	1	213.9	1	 0.7418	1	  0.0194	1	 78.23	1	 0.3491	1	11.038	1	35.988	1	27.539	1	11.146	1
									  835.00	1	  0.350	1	  0.355	1	  0.08	1	213.8	1	 0.1031	1	  0.0202	1	 78.21	1	 0.3490	1	11.042	1	35.991	1	27.541	1	11.150	1
									  837.00	1	  0.350	1	  0.355	1	  0.15	1	212.8	1	 0.5243	1	  0.0214	1	 77.83	1	 0.3490	1	11.042	1	35.993	1	27.542	1	11.150	1
									  839.00	1	  0.350	1	  0.355	1	  0.07	1	213.4	1	-0.0061	1	  0.0197	1	 78.04	1	 0.3490	1	11.043	1	35.994	1	27.543	1	11.152	1
									  841.00	1	  0.350	1	  0.355	1	  0.07	1	213.0	1	 0.0186	1	  0.0191	1	 77.91	1	 0.3490	1	11.045	1	35.995	1	27.543	1	11.153	1
									  843.00	1	  0.350	1	  0.355	1	  0.12	1	212.3	1	 0.3935	1	  0.0192	1	 77.64	1	 0.3490	1	11.045	1	35.996	1	27.544	1	11.154	1
									  845.00	1	  0.350	1	  0.355	1	  0.21	1	212.8	1	 0.7262	1	  0.0195	1	 77.84	1	 0.3492	1	11.044	1	35.997	1	27.544	1	11.153	1
									  847.00	1	  0.350	1	  0.355	1	  0.17	1	214.2	1	 0.6003	1	  0.0195	1	 78.35	1	 0.3490	1	11.043	1	35.998	1	27.545	1	11.153	1
									  849.00	1	  0.350	1	  0.355	1	  0.33	1	212.9	1	 0.9914	1	  0.0192	1	 77.87	1	 0.3491	1	11.039	1	35.998	1	27.546	1	11.149	1
									  851.00	1	  0.350	1	  0.355	1	  0.29	1	212.8	1	 0.9158	1	  0.0191	1	 77.83	1	 0.3491	1	11.038	1	36.000	1	27.548	1	11.149	1
									  853.00	1	  0.350	1	  0.355	1	  0.15	1	213.6	1	 0.5117	1	  0.0192	1	 78.11	1	 0.3490	1	11.023	1	35.997	1	27.549	1	11.134	1
									  855.00	1	  0.350	1	  0.355	1	  0.23	1	213.9	1	 0.7685	1	  0.0193	1	 78.20	1	 0.3490	1	11.015	1	35.999	1	27.551	1	11.126	1
									  857.00	1	  0.350	1	  0.355	1	  0.31	1	212.6	1	 0.9394	1	  0.0204	1	 77.68	1	 0.3490	1	10.986	1	35.992	1	27.551	1	11.097	1
									  859.00	1	  0.350	1	  0.355	1	  0.41	1	211.2	1	 1.1263	1	  0.0197	1	 77.12	1	 0.3490	1	10.956	1	35.990	1	27.555	1	11.067	1
									  861.00	1	  0.350	1	  0.355	1	  0.14	1	211.2	1	 0.2345	1	  0.0194	1	 77.07	1	 0.3490	1	10.943	1	35.991	1	27.558	1	11.054	1
									  863.00	1	  0.350	1	  0.355	1	  0.10	1	210.9	1	 0.1771	1	  0.0197	1	 76.95	1	 0.3490	1	10.935	1	35.991	1	27.560	1	11.046	1
									  865.00	1	  0.351	1	  0.355	1	  0.29	1	211.3	1	 0.9141	1	  0.0195	1	 77.15	1	 0.3494	1	10.951	1	36.002	1	27.565	1	11.062	1
									  867.00	1	  0.350	1	  0.356	1	  0.28	1	212.4	1	 0.8946	1	  0.0198	1	 77.57	1	 0.3490	1	10.957	1	36.002	1	27.564	1	11.069	1
									  869.00	1	  0.350	1	  0.355	1	  0.17	1	212.9	1	 0.5582	1	  0.0196	1	 77.72	1	 0.3491	1	10.954	1	36.000	1	27.564	1	11.066	1
									  871.00	1	  0.350	1	  0.355	1	  0.07	1	211.4	1	 0.0446	1	  0.0200	1	 77.19	1	 0.3490	1	10.954	1	36.001	1	27.564	1	11.066	1
									  873.00	1	  0.351	1	  0.355	1	  0.05	1	212.1	1	-0.1549	1	  0.0195	1	 77.43	1	 0.3500	1	10.953	1	35.994	1	27.559	1	11.066	1
									  875.00	1	  0.350	1	  0.355	1	  0.11	1	213.0	1	 0.2643	1	  0.0198	1	 77.75	1	 0.3490	1	10.941	1	36.000	1	27.566	1	11.054	1
									  877.00	1	  0.350	1	  0.355	1	  0.22	1	214.1	1	 0.7149	1	  0.0195	1	 78.13	1	 0.3490	1	10.928	1	35.999	1	27.568	1	11.041	1
									  879.00	1	  0.350	1	  0.355	1	  0.20	1	212.6	1	 0.6884	1	  0.0194	1	 77.58	1	 0.3490	1	10.922	1	36.002	1	27.571	1	11.035	1
									  881.00	1	  0.350	1	  0.355	1	  0.23	1	212.3	1	 0.7684	1	  0.0201	1	 77.49	1	 0.3490	1	10.948	1	36.011	1	27.573	1	11.062	1
									  883.00	1	  0.350	1	  0.355	1	  0.20	1	212.6	1	 0.6877	1	  0.0214	1	 77.63	1	 0.3490	1	10.948	1	36.010	1	27.572	1	11.062	1
									  885.00	1	  0.350	1	  0.355	1	  0.21	1	212.5	1	 0.7313	1	  0.0197	1	 77.59	1	 0.3490	1	10.941	1	36.011	1	27.575	1	11.056	1
									  887.00	1	  0.351	1	  0.355	1	  0.42	1	212.4	1	 1.1403	1	  0.0197	1	 77.56	1	 0.3494	1	10.944	1	36.016	1	27.578	1	11.059	1
									  889.00	1	  0.350	1	  0.355	1	  0.22	1	211.7	1	 0.7270	1	  0.0194	1	 77.35	1	 0.3491	1	10.978	1	36.030	1	27.583	1	11.093	1
									  891.00	1	  0.350	1	  0.355	1	  0.25	1	211.5	1	 0.8270	1	  0.0198	1	 77.31	1	 0.3490	1	10.992	1	36.033	1	27.582	1	11.107	1
									  893.00	1	  0.351	1	  0.355	1	  0.14	1	211.6	1	 0.4776	1	  0.0195	1	 77.35	1	 0.3492	1	10.994	1	36.034	1	27.583	1	11.109	1
									  895.00	1	  0.350	1	  0.355	1	  0.22	1	213.5	1	 0.7375	1	  0.0194	1	 78.05	1	 0.3490	1	11.007	1	36.043	1	27.587	1	11.123	1
									  897.00	1	  0.351	1	  0.355	1	  0.21	1	212.4	1	 0.6890	1	  0.0202	1	 77.65	1	 0.3493	1	11.012	1	36.041	1	27.585	1	11.128	1
									  899.00	1	  0.350	1	  0.355	1	  0.23	1	211.7	1	 0.7578	1	  0.0201	1	 77.36	1	 0.3491	1	10.979	1	36.035	1	27.586	1	11.095	1
									  901.00	1	  0.351	1	  0.355	1	  0.24	1	211.3	1	 0.8051	1	  0.0203	1	 77.23	1	 0.3493	1	10.980	1	36.037	1	27.588	1	11.097	1
									  903.00	1	  0.350	1	  0.355	1	  0.19	1	211.0	1	 0.6556	1	  0.0195	1	 77.10	1	 0.3489	1	10.984	1	36.039	1	27.588	1	11.101	1
									  905.00	1	  0.350	1	  0.355	1	  0.16	1	210.6	1	 0.5600	1	  0.0197	1	 76.95	1	 0.3489	1	10.978	1	36.039	1	27.589	1	11.095	1
									  907.00	1	  0.351	1	  0.355	1	  0.46	1	210.6	1	 1.1458	1	  0.0195	1	 76.96	1	 0.3495	1	10.983	1	36.042	1	27.591	1	11.101	1
									  909.00	1	  0.351	1	  0.355	1	  0.35	1	211.1	1	 1.0149	1	  0.0197	1	 77.14	1	 0.3496	1	10.966	1	36.037	1	27.590	1	11.083	1
									  911.00	1	  0.351	1	  0.355	1	  0.20	1	212.0	1	 0.6679	1	  0.0194	1	 77.37	1	 0.3495	1	10.931	1	36.037	1	27.596	1	11.048	1
									  913.00	1	  0.352	1	  0.355	1	  0.15	1	210.4	1	 0.5186	1	  0.0192	1	 76.87	1	 0.3503	1	10.961	1	36.048	1	27.599	1	11.079	1
									  915.00	1	  0.352	1	  0.355	1	  0.14	1	210.2	1	 0.4437	1	  0.0197	1	 76.79	1	 0.3505	1	10.958	1	36.044	1	27.597	1	11.076	1
									  917.00	1	  0.351	1	  0.355	1	  0.19	1	211.5	1	 0.6465	1	  0.0208	1	 77.24	1	 0.3498	1	10.944	1	36.043	1	27.599	1	11.062	1
									  919.00	1	  0.351	1	  0.355	1	  0.18	1	211.6	1	 0.6387	1	  0.0194	1	 77.28	1	 0.3500	1	10.949	1	36.046	1	27.600	1	11.067	1
									  921.00	1	  0.352	1	  0.355	1	  0.32	1	211.3	1	 0.9729	1	  0.0197	1	 77.15	1	 0.3504	1	10.929	1	36.039	1	27.598	1	11.048	1
									  923.00	1	  0.352	1	  0.355	1	  0.23	1	212.0	1	 0.7703	1	  0.0195	1	 77.34	1	 0.3502	1	10.903	1	36.036	1	27.601	1	11.023	1
									  925.00	1	  0.351	1	  0.355	1	  0.22	1	212.6	1	 0.7390	1	  0.0203	1	 77.55	1	 0.3499	1	10.890	1	36.034	1	27.601	1	11.010	1
									  927.00	1	  0.351	1	  0.355	1	  0.15	1	212.5	1	 0.4939	1	  0.0200	1	 77.46	1	 0.3498	1	10.857	1	36.027	1	27.602	1	10.976	1
									  929.00	1	  0.352	1	  0.356	1	  0.12	1	212.3	1	 0.3636	1	  0.0195	1	 77.35	1	 0.3501	1	10.851	1	36.029	1	27.605	1	10.970	1
									  931.00	1	  0.351	1	  0.355	1	  0.24	1	212.3	1	 0.7940	1	  0.0194	1	 77.35	1	 0.3499	1	10.851	1	36.030	1	27.606	1	10.970	1
									  933.00	1	  0.351	1	  0.355	1	  0.25	1	212.3	1	 0.8349	1	  0.0194	1	 77.34	1	 0.3494	1	10.843	1	36.028	1	27.606	1	10.962	1
									  935.00	1	  0.351	1	  0.355	1	  0.20	1	212.6	1	 0.6710	1	  0.0189	1	 77.43	1	 0.3491	1	10.820	1	36.021	1	27.604	1	10.940	1
									  937.00	1	  0.350	1	  0.355	1	  0.15	1	212.8	1	 0.5182	1	  0.0208	1	 77.48	1	 0.3489	1	10.806	1	36.021	1	27.607	1	10.926	1
									  939.00	1	  0.351	1	  0.355	1	  0.12	1	212.0	1	 0.3652	1	  0.0200	1	 77.17	1	 0.3492	1	10.804	1	36.025	1	27.610	1	10.924	1
									  941.00	1	  0.351	1	  0.355	1	  0.25	1	212.3	1	 0.8124	1	  0.0196	1	 77.31	1	 0.3496	1	10.824	1	36.027	1	27.608	1	10.944	1
									  943.00	1	  0.352	1	  0.355	1	  0.16	1	212.0	1	 0.5676	1	  0.0197	1	 77.24	1	 0.3506	1	10.841	1	36.040	1	27.615	1	10.962	1
									  945.00	1	  0.351	1	  0.355	1	  0.12	1	212.8	1	 0.4004	1	  0.0192	1	 77.51	1	 0.3494	1	10.821	1	36.037	1	27.617	1	10.942	1
									  947.00	1	  0.351	1	  0.355	1	  0.25	1	213.2	1	 0.8195	1	  0.0202	1	 77.62	1	 0.3497	1	10.805	1	36.032	1	27.615	1	10.927	1
									  949.00	1	  0.351	1	  0.355	1	  0.18	1	212.1	1	 0.6357	1	  0.0194	1	 77.13	1	 0.3494	1	10.757	1	36.020	1	27.615	1	10.879	1
									  951.00	1	  0.350	1	  0.355	1	  0.19	1	211.8	1	 0.6467	1	  0.0194	1	 77.01	1	 0.3489	1	10.745	1	36.021	1	27.618	1	10.866	1
									  953.00	1	  0.350	1	  0.355	1	  0.25	1	212.8	1	 0.8272	1	  0.0194	1	 77.43	1	 0.3489	1	10.770	1	36.034	1	27.624	1	10.892	1
									  955.00	1	  0.351	1	  0.356	1	  0.18	1	213.0	1	 0.6265	1	  0.0188	1	 77.54	1	 0.3493	1	10.793	1	36.037	1	27.622	1	10.916	1
									  957.00	1	  0.352	1	  0.356	1	  0.37	1	212.0	1	 1.0547	1	  0.0194	1	 77.21	1	 0.3507	1	10.816	1	36.050	1	27.628	1	10.939	1
									  959.00	1	  0.352	1	  0.355	1	  0.25	1	212.4	1	 0.8196	1	  0.0194	1	 77.39	1	 0.3506	1	10.819	1	36.051	1	27.628	1	10.943	1
									  961.00	1	  0.352	1	  0.355	1	  0.17	1	213.6	1	 0.5586	1	  0.0200	1	 77.74	1	 0.3508	1	10.794	1	36.044	1	27.627	1	10.917	1
									  963.00	1	  0.351	1	  0.355	1	  0.05	1	213.9	1	-0.1209	1	  0.0197	1	 77.82	1	 0.3498	1	10.757	1	36.040	1	27.630	1	10.880	1
									  965.00	1	  0.351	1	  0.355	1	  0.06	1	213.1	1	-0.1068	1	  0.0195	1	 77.50	1	 0.3495	1	10.746	1	36.040	1	27.632	1	10.870	1
									  967.00	1	  0.351	1	  0.355	1	  0.21	1	212.7	1	 0.6795	1	  0.0192	1	 77.35	1	 0.3498	1	10.737	1	36.039	1	27.633	1	10.861	1
									  969.00	1	  0.352	1	  0.355	1	  0.26	1	211.5	1	 0.8494	1	  0.0190	1	 76.89	1	 0.3502	1	10.726	1	36.038	1	27.634	1	10.851	1
									  971.00	1	  0.351	1	  0.355	1	  0.17	1	212.1	1	 0.5846	1	  0.0195	1	 77.05	1	 0.3499	1	10.703	1	36.035	1	27.636	1	10.827	1
									  973.00	1	  0.351	1	  0.355	1	  0.17	1	212.8	1	 0.5839	1	  0.0195	1	 77.29	1	 0.3496	1	10.686	1	36.033	1	27.638	1	10.810	1
									  975.00	1	  0.351	1	  0.355	1	  0.25	1	212.8	1	 0.8127	1	  0.0193	1	 77.27	1	 0.3491	1	10.672	1	36.031	1	27.639	1	10.796	1
									  977.00	1	  0.351	1	  0.355	1	  0.30	1	212.0	1	 0.9402	1	  0.0203	1	 76.94	1	 0.3493	1	10.658	1	36.029	1	27.640	1	10.782	1
									  979.00	1	  0.350	1	  0.355	1	  0.20	1	211.7	1	 0.6605	1	  0.0182	1	 76.80	1	 0.3490	1	10.635	1	36.026	1	27.641	1	10.760	1
									  981.00	1	  0.351	1	  0.355	1	  0.37	1	212.1	1	 1.0507	1	  0.0189	1	 76.89	1	 0.3496	1	10.609	1	36.020	1	27.642	1	10.734	1
									  983.00	1	  0.350	1	  0.354	1	  0.22	1	212.6	1	 0.7472	1	  0.0179	1	 77.06	1	 0.3490	1	10.590	1	36.018	1	27.644	1	10.715	1
									  985.00	1	  0.350	1	  0.354	1	  0.20	1	212.6	1	 0.6999	1	  0.0181	1	 77.04	1	 0.3488	1	10.579	1	36.017	1	27.645	1	10.704	1
									  987.00	1	  0.351	1	  0.354	1	  0.19	1	212.1	1	 0.6522	1	  0.0179	1	 76.83	1	 0.3492	1	10.569	1	36.016	1	27.646	1	10.694	1
									  989.00	1	  0.350	1	  0.354	1	  0.14	1	211.9	1	 0.4651	1	  0.0186	1	 76.74	1	 0.3489	1	10.559	1	36.015	1	27.647	1	10.684	1
									  991.00	1	  0.351	1	  0.354	1	  0.07	1	212.9	1	 0.0016	1	  0.0179	1	 77.09	1	 0.3490	1	10.551	1	36.015	1	27.648	1	10.677	1
									  993.00	1	  0.351	1	  0.355	1	  0.11	1	211.9	1	 0.3442	1	  0.0189	1	 76.73	1	 0.3493	1	10.549	1	36.015	1	27.648	1	10.675	1
									  995.00	1	  0.351	1	  0.355	1	  0.28	1	211.5	1	 0.8833	1	  0.0192	1	 76.59	1	 0.3493	1	10.547	1	36.015	1	27.649	1	10.673	1
									  997.00	1	  0.350	1	  0.354	1	  0.34	1	212.4	1	 1.0119	1	  0.0184	1	 76.90	1	 0.3490	1	10.535	1	36.012	1	27.648	1	10.662	1
									  999.00	1	  0.350	1	  0.354	1	  0.27	1	211.8	1	 0.8559	1	  0.0179	1	 76.63	1	 0.3489	1	10.513	1	36.008	1	27.650	1	10.639	1
									 1001.00	1	  0.350	1	  0.354	1	  0.15	1	211.1	1	 0.4912	1	  0.0178	1	 76.35	1	 0.3489	1	10.501	1	36.007	1	27.651	1	10.628	1
									 1003.00	1	  0.351	1	  0.353	1	  0.17	1	211.0	1	 0.5978	1	  0.0181	1	 76.31	1	 0.3491	1	10.498	1	36.008	1	27.652	1	10.625	1
									 1005.00	1	  0.350	1	  0.353	1	  0.24	1	212.1	1	 0.7823	1	  0.0182	1	 76.66	1	 0.3489	1	10.469	1	35.999	1	27.650	1	10.596	1
									 1007.00	1	  0.350	1	  0.353	1	  0.24	1	212.1	1	 0.7999	1	  0.0174	1	 76.64	1	 0.3488	1	10.459	1	36.001	1	27.654	1	10.586	1
									 1009.00	1	  0.350	1	  0.353	1	  0.22	1	212.1	1	 0.7235	1	  0.0187	1	 76.64	1	 0.3489	1	10.458	1	36.001	1	27.654	1	10.586	1
									 1011.00	1	  0.351	1	  0.353	1	  0.17	1	211.4	1	 0.5806	1	  0.0175	1	 76.39	1	 0.3491	1	10.450	1	35.999	1	27.654	1	10.577	1
									 1013.00	1	  0.351	1	  0.354	1	  0.29	1	211.2	1	 0.9027	1	  0.0178	1	 76.26	1	 0.3494	1	10.434	1	35.995	1	27.653	1	10.562	1
									 1015.00	1	  0.350	1	  0.353	1	  0.24	1	212.1	1	 0.7977	1	  0.0175	1	 76.57	1	 0.3488	1	10.416	1	35.994	1	27.656	1	10.544	1
									 1017.00	1	  0.350	1	  0.353	1	  0.30	1	212.6	1	 0.9268	1	  0.0175	1	 76.73	1	 0.3488	1	10.391	1	35.990	1	27.657	1	10.519	1
									 1019.00	1	  0.350	1	  0.353	1	  0.23	1	212.3	1	 0.7655	1	  0.0176	1	 76.55	1	 0.3489	1	10.366	1	35.988	1	27.660	1	10.494	1
									 1021.00	1	  0.350	1	  0.353	1	  0.20	1	211.7	1	 0.6961	1	  0.0171	1	 76.34	1	 0.3488	1	10.361	1	35.989	1	27.662	1	10.489	1
									 1023.00	1	  0.350	1	  0.353	1	  0.22	1	211.8	1	 0.7411	1	  0.0180	1	 76.39	1	 0.3489	1	10.361	1	35.990	1	27.663	1	10.490	1
									 1025.00	1	  0.351	1	  0.354	1	  0.17	1	213.0	1	 0.5569	1	  0.0175	1	 76.82	1	 0.3494	1	10.367	1	35.994	1	27.664	1	10.496	1
									 1027.00	1	  0.352	1	  0.353	1	  0.13	1	211.9	1	 0.4441	1	  0.0182	1	 76.45	1	 0.3500	1	10.382	1	36.001	1	27.668	1	10.511	1
									 1029.00	1	  0.352	1	  0.353	1	  0.13	1	212.1	1	 0.4409	1	  0.0178	1	 76.55	1	 0.3501	1	10.398	1	36.005	1	27.668	1	10.528	1
									 1031.00	1	  0.351	1	  0.354	1	  0.17	1	212.3	1	 0.5868	1	  0.0180	1	 76.63	1	 0.3496	1	10.407	1	36.013	1	27.672	1	10.538	1
									 1033.00	1	  0.352	1	  0.354	1	  0.25	1	212.4	1	 0.8338	1	  0.0179	1	 76.67	1	 0.3504	1	10.407	1	36.011	1	27.671	1	10.537	1
									 1035.00	1	  0.352	1	  0.353	1	  0.17	1	212.2	1	 0.5901	1	  0.0174	1	 76.60	1	 0.3499	1	10.406	1	36.011	1	27.671	1	10.536	1
									 1037.00	1	  0.352	1	  0.354	1	  0.34	1	211.1	1	 0.9940	1	  0.0180	1	 76.22	1	 0.3499	1	10.401	1	36.010	1	27.671	1	10.531	1
									 1039.00	1	  0.352	1	  0.353	1	  0.28	1	211.3	1	 0.8519	1	  0.0180	1	 76.28	1	 0.3500	1	10.393	1	36.012	1	27.674	1	10.524	1
									 1041.00	1	  0.352	1	  0.354	1	  0.17	1	211.7	1	 0.5781	1	  0.0172	1	 76.41	1	 0.3505	1	10.391	1	36.013	1	27.675	1	10.523	1
									 1043.00	1	  0.352	1	  0.354	1	  0.22	1	212.3	1	 0.7330	1	  0.0179	1	 76.61	1	 0.3504	1	10.390	1	36.013	1	27.676	1	10.521	1
									 1045.00	1	  0.352	1	  0.354	1	  0.25	1	212.5	1	 0.8246	1	  0.0179	1	 76.71	1	 0.3508	1	10.390	1	36.014	1	27.676	1	10.522	1
									 1047.00	1	  0.352	1	  0.354	1	  0.12	1	211.8	1	 0.3974	1	  0.0179	1	 76.43	1	 0.3508	1	10.382	1	36.014	1	27.678	1	10.514	1
									 1049.00	1	  0.352	1	  0.353	1	  0.12	1	212.6	1	 0.3767	1	  0.0179	1	 76.71	1	 0.3506	1	10.372	1	36.014	1	27.679	1	10.504	1
									 1051.00	1	  0.352	1	  0.353	1	  0.11	1	212.6	1	 0.2462	1	  0.0174	1	 76.71	1	 0.3508	1	10.367	1	36.015	1	27.681	1	10.499	1
									 1053.00	1	  0.352	1	  0.353	1	  0.16	1	212.2	1	 0.5457	1	  0.0182	1	 76.54	1	 0.3508	1	10.368	1	36.016	1	27.682	1	10.501	1
									 1055.00	1	  0.353	1	  0.354	1	  0.17	1	212.1	1	 0.5682	1	  0.0185	1	 76.53	1	 0.3510	1	10.380	1	36.022	1	27.684	1	10.513	1
									 1057.00	1	  0.352	1	  0.354	1	  0.27	1	212.7	1	 0.8629	1	  0.0181	1	 76.76	1	 0.3508	1	10.375	1	36.019	1	27.683	1	10.508	1
