Cruise	Station	Type	yyyy-mm-ddThh:mm:ss.sss	Longitude [degrees_east]	Latitude [degrees_north]	LOCAL_CDI_ID	EDMO_code	Bot. Depth [m]	Pres_Z [dbar]	QV:SEADATANET	Record_No [Dmnless]	QV:SEADATANET	Atten_red [/m]	QV:SEADATANET	CTDCond [S/m]	QV:SEADATANET	chl-a_water_ISfluor_manufctrcal_sensor1 [mg/m^3]	QV:SEADATANET	chl-a_water_ISfluor_sampcal [mg/m^3]	QV:SEADATANET	WC_dissO2_uncalib [umol/l]	QV:SEADATANET	P_sal_CTD [Dmnless]	QV:SEADATANET	WC_temp_CTD [degC]	QV:SEADATANET
									   49.00	1	       48	1	 55.262	3	 3.695	1	  0.19	1	  0.62	1	288.7	1	35.302	1	 8.466	1
									   50.00	1	       49	1	 55.262	3	 3.696	1	  0.20	1	  0.81	1	288.8	1	35.304	1	 8.471	1
									   51.00	1	       50	1	 55.262	3	 3.696	1	  0.19	1	  0.68	1	288.7	1	35.304	1	 8.473	1
									   52.00	1	       51	1	 55.262	3	 3.696	1	  0.19	1	  0.64	1	288.7	1	35.305	1	 8.473	1
									   53.00	1	       52	1	 55.262	3	 3.696	1	  0.20	1	  0.80	1	288.8	1	35.305	1	 8.473	1
									   54.00	1	       53	1	 55.262	3	 3.697	1	  0.19	1	  0.64	1	288.8	1	35.305	1	 8.474	1
									   55.00	1	       54	1	 55.262	3	 3.696	1	  0.20	1	  0.73	1	288.7	1	35.305	1	 8.471	1
									   56.00	1	       55	1	 55.262	3	 3.696	1	  0.20	1	  0.80	1	288.6	1	35.305	1	 8.468	1
									   57.00	1	       56	1	 55.262	3	 3.696	1	  0.21	1	  0.86	1	288.5	1	35.305	1	 8.466	1
									   58.00	1	       57	1	 55.262	3	 3.696	1	  0.19	1	  0.63	1	288.4	1	35.305	1	 8.464	1
									   59.00	1	       58	1	 55.262	3	 3.696	1	  0.19	1	  0.66	1	288.2	1	35.304	1	 8.463	1
									   60.00	1	       59	1	 55.262	3	 3.696	1	  0.18	1	  0.60	1	288.1	1	35.304	1	 8.462	1
									   61.00	1	       60	1	 55.262	3	 3.696	1	  0.19	1	  0.65	1	287.9	1	35.305	1	 8.462	1
									   62.00	1	       61	1	 55.262	3	 3.696	1	  0.18	1	  0.61	1	287.6	1	35.306	1	 8.459	1
									   63.00	1	       62	1	 55.262	3	 3.695	1	  0.19	1	  0.72	1	287.0	1	35.305	1	 8.454	1
									   64.00	1	       63	1	 55.262	3	 3.695	1	  0.19	1	  0.72	1	286.5	1	35.305	1	 8.449	1
									   65.00	1	       64	1	 55.262	3	 3.695	1	  0.25	1	  1.30	1	286.2	1	35.305	1	 8.447	1
									   66.00	1	       65	1	 55.262	3	 3.695	1	  0.21	1	  0.86	1	285.9	1	35.305	1	 8.447	1
									   67.00	1	       66	1	 55.262	3	 3.695	1	  0.23	1	  1.07	1	285.7	1	35.305	1	 8.447	1
									   68.00	1	       67	1	 55.262	3	 3.695	1	  0.22	1	  0.99	1	285.6	1	35.305	1	 8.447	1
									   69.00	1	       68	1	 55.262	3	 3.695	1	  0.23	1	  1.06	1	285.6	1	35.305	1	 8.447	1
									   70.00	1	       69	1	 55.262	3	 3.695	1	  0.24	1	  1.14	1	285.5	1	35.305	1	 8.446	1
									   71.00	1	       70	1	 55.262	3	 3.695	1	  0.22	1	  0.96	1	285.3	1	35.306	1	 8.445	1
									   72.00	1	       71	1	 55.262	3	 3.695	1	  0.21	1	  0.87	1	285.2	1	35.306	1	 8.445	1
									   73.00	1	       72	1	 55.262	3	 3.695	1	  0.23	1	  1.04	1	285.1	1	35.305	1	 8.445	1
									   74.00	1	       73	1	 55.262	3	 3.695	1	  0.21	1	  0.86	1	285.0	1	35.305	1	 8.444	1
									   75.00	1	       74	1	 55.262	3	 3.695	1	  0.24	1	  1.17	1	284.8	1	35.305	1	 8.444	1
									   76.00	1	       75	1	 55.262	3	 3.695	1	  0.22	1	  1.02	1	284.8	1	35.305	1	 8.444	1
									   77.00	1	       76	1	 55.262	3	 3.695	1	  0.21	1	  0.92	1	284.6	1	35.305	1	 8.444	1
									   78.00	1	       77	1	 55.262	3	 3.695	1	  0.22	1	  1.01	1	284.5	1	35.305	1	 8.443	1
									   79.00	1	       78	1	 55.262	3	 3.695	1	  0.24	1	  1.13	1	284.6	1	35.305	1	 8.442	1
									   80.00	1	       79	1	 55.262	3	 3.695	1	  0.25	1	  1.30	1	284.6	1	35.305	1	 8.441	1
